timestamps,open,high,low,close,volume,amount
2025-07-29 09:35:00,13.4,13.4,13.2,13.24,25589500,339819324.0
2025-07-29 09:40:00,13.23,13.24,13.2,13.21,8558500,113135283.0
2025-07-29 09:45:00,13.21,13.21,13.11,13.13,11429300,150455218.0
2025-07-29 09:50:00,13.14,13.15,13.1,13.11,8271800,108567423.0
2025-07-29 09:55:00,13.11,13.12,13.08,13.11,6173000,80877706.0
2025-07-29 10:00:00,13.12,13.12,13.07,13.08,5504100,72054102.0
2025-07-29 10:05:00,13.07,13.1,13.05,13.1,5440000,71077021.0
2025-07-29 10:10:00,13.1,13.11,13.08,13.11,4965200,65019581.0
2025-07-29 10:15:00,13.11,13.12,13.09,13.12,3001500,39342412.0
2025-07-29 10:20:00,13.12,13.13,13.1,13.11,2223700,29153511.0
2025-07-29 10:25:00,13.1,13.11,13.08,13.09,1968900,25776051.0
2025-07-29 10:30:00,13.09,13.24,13.09,13.15,7443100,98111503.0
2025-07-29 10:35:00,13.15,13.28,13.13,13.2,7009500,92727737.0
2025-07-29 10:40:00,13.2,13.2,13.16,13.19,3191800,42053754.0
2025-07-29 10:45:00,13.19,13.25,13.19,13.2,2958000,39101141.0
2025-07-29 10:50:00,13.2,13.21,13.19,13.21,1181800,15601262.0
2025-07-29 10:55:00,13.21,13.25,13.21,13.24,1865900,24686029.0
2025-07-29 11:00:00,13.23,13.25,13.2,13.2,2856100,37807283.0
2025-07-29 11:05:00,13.2,13.22,13.2,13.21,1131100,14940260.0
2025-07-29 11:10:00,13.21,13.22,13.2,13.21,959900,12681108.0
2025-07-29 11:15:00,13.22,13.23,13.21,13.22,746200,9860966.0
2025-07-29 11:20:00,13.22,13.22,13.2,13.22,1022400,13507921.0
2025-07-29 11:25:00,13.22,13.23,13.21,13.22,856000,11314649.0
2025-07-29 11:30:00,13.21,13.23,13.19,13.19,1946800,25711289.0
2025-07-29 13:05:00,13.2,13.3,13.2,13.28,6766700,89756540.0
2025-07-29 13:10:00,13.27,13.28,13.22,13.22,1609800,21333826.0
2025-07-29 13:15:00,13.22,13.24,13.22,13.24,1385700,18334581.0
2025-07-29 13:20:00,13.24,13.24,13.21,13.22,1395000,18440216.0
2025-07-29 13:25:00,13.22,13.23,13.2,13.22,1727000,22817654.0
2025-07-29 13:30:00,13.22,13.22,13.2,13.22,873800,11542389.0
2025-07-29 13:35:00,13.21,13.22,13.21,13.21,935700,12364353.0
2025-07-29 13:40:00,13.21,13.22,13.2,13.2,1701000,22461082.0
2025-07-29 13:45:00,13.2,13.21,13.19,13.21,899800,11875145.0
2025-07-29 13:50:00,13.21,13.25,13.2,13.23,1604600,21216613.0
2025-07-29 13:55:00,13.23,13.25,13.23,13.24,1228800,16273646.0
2025-07-29 14:00:00,13.24,13.26,13.23,13.24,1451600,19231464.0
2025-07-29 14:05:00,13.24,13.26,13.24,13.25,1060500,14047871.0
2025-07-29 14:10:00,13.26,13.27,13.25,13.25,1440500,19095696.0
2025-07-29 14:15:00,13.25,13.25,13.22,13.25,1218300,16126245.0
2025-07-29 14:20:00,13.25,13.26,13.24,13.26,2096000,27772429.0
2025-07-29 14:25:00,13.26,13.27,13.24,13.26,1725000,22867454.0
2025-07-29 14:30:00,13.26,13.29,13.26,13.27,2402700,31898012.0
2025-07-29 14:35:00,13.28,13.28,13.26,13.27,1181000,15672566.0
2025-07-29 14:40:00,13.27,13.27,13.25,13.26,1905100,25254295.0
2025-07-29 14:45:00,13.25,13.26,13.25,13.26,1774800,23522607.0
2025-07-29 14:50:00,13.26,13.26,13.25,13.25,2784800,36909485.0
2025-07-29 14:55:00,13.26,13.27,13.25,13.27,4112300,54530768.0
2025-07-29 15:00:00,13.27,13.27,13.26,13.27,3430300,45506994.0
2025-07-30 09:35:00,13.47,13.62,13.35,13.55,52687900,712057317.0
2025-07-30 09:40:00,13.55,13.55,13.43,13.46,16455000,222110785.0
2025-07-30 09:45:00,13.47,13.55,13.46,13.52,10919400,147557511.0
2025-07-30 09:50:00,13.52,13.58,13.52,13.54,10881300,147445255.0
2025-07-30 09:55:00,13.53,13.55,13.53,13.53,5402800,73148136.0
2025-07-30 10:00:00,13.53,13.53,13.45,13.46,7344900,99071474.0
