timestamps,open,high,low,close,volume,amount
2025-01-02 09:35:00,9.0103052000,9.0984494900,9.0005113900,9.0886556800,8163900,75340048.0000
2025-01-02 09:40:00,9.0886556800,9.0886556800,9.0200990100,9.0592742500,3945700,36475848.0000
2025-01-02 09:45:00,9.0592742500,9.0886556800,9.0298928200,9.0788618700,4078600,37743080.0000
2025-01-02 09:50:00,9.0886556800,9.1082433000,9.0005113900,9.0005113900,4850100,44854112.0000
2025-01-02 09:55:00,9.0005113900,9.0200990100,8.9417485300,9.0103052000,3592500,32937520.0000
2025-01-02 10:00:00,9.0005113900,9.0103052000,8.9711299600,8.9907175800,2419900,22201152.0000
2025-01-02 10:05:00,8.9809237700,9.0103052000,8.9613361500,8.9711299600,3990400,36589776.0000
2025-01-02 10:10:00,8.9711299600,8.9809237700,8.9417485300,8.9515423400,2078800,19016384.0000
2025-01-02 10:15:00,8.9515423400,8.9613361500,8.8731918600,8.8731918600,5511700,50179392.0000
2025-01-02 10:20:00,8.8829856700,8.8829856700,8.8144290000,8.8340166200,5341900,48225376.0000
2025-01-02 10:25:00,8.8340166200,8.8927794800,8.8144290000,8.8829856700,5231500,47274496.0000
2025-01-02 10:30:00,8.8927794800,8.9025732900,8.8829856700,8.9025732900,2302100,20895008.0000
2025-01-02 10:35:00,8.9025732900,8.9221609100,8.8927794800,8.9221609100,1256700,11429408.0000
2025-01-02 10:40:00,8.9221609100,8.9515423400,8.9123671000,8.9515423400,1081300,9857344.0000
2025-01-02 10:45:00,8.9417485300,8.9515423400,8.9025732900,8.9123671000,1099600,10016224.0000
2025-01-02 10:50:00,8.9123671000,8.9417485300,8.9123671000,8.9417485300,747900,6813760.0000
2025-01-02 10:55:00,8.9417485300,8.9711299600,8.9319547200,8.9613361500,820000,7496032.0000
2025-01-02 11:00:00,8.9613361500,8.9809237700,8.9515423400,8.9613361500,993900,9104320.0000
2025-01-02 11:05:00,8.9711299600,8.9711299600,8.9515423400,8.9711299600,530300,4852576.0000
2025-01-02 11:10:00,8.9711299600,8.9809237700,8.9515423400,8.9515423400,528300,4839360.0000
2025-01-02 11:15:00,8.9711299600,8.9809237700,8.9515423400,8.9515423400,582300,5330620.0000
2025-01-02 11:20:00,8.9515423400,8.9613361500,8.9417485300,8.9417485300,287700,2629254.0000
2025-01-02 11:25:00,8.9417485300,8.9515423400,8.9123671000,8.9123671000,1018900,9291717.0000
2025-01-02 11:30:00,8.9221609100,8.9417485300,8.8927794800,8.9319547200,837700,7622073.0000
2025-01-02 13:05:00,8.9319547200,8.9319547200,8.8829856700,8.8927794800,890700,8099448.0000
2025-01-02 13:10:00,8.8927794800,8.8927794800,8.8731918600,8.8829856700,870500,7893248.0000
2025-01-02 13:15:00,8.8731918600,8.8829856700,8.8536042400,8.8633980500,1428100,12922511.0000
2025-01-02 13:20:00,8.8536042400,8.8731918600,8.8536042400,8.8633980500,636600,5763377.0000
2025-01-02 13:25:00,8.8633980500,8.8731918600,8.8438104300,8.8536042400,2370000,21442316.0000
2025-01-02 13:30:00,8.8536042400,8.8633980500,8.8242228100,8.8340166200,2173500,19610748.0000
2025-01-02 13:35:00,8.8340166200,8.8731918600,8.8340166200,8.8731918600,751600,6801528.0000
2025-01-02 13:40:00,8.8731918600,8.8731918600,8.8438104300,8.8633980500,1061200,9600014.0000
2025-01-02 13:45:00,8.8633980500,8.8731918600,8.8438104300,8.8536042400,1056500,9556338.0000
2025-01-02 13:50:00,8.8633980500,8.8633980500,8.8340166200,8.8438104300,1131200,10214798.0000
2025-01-02 13:55:00,8.8438104300,8.8438104300,8.8046351900,8.8144290000,3606300,32477626.0000
2025-01-02 14:00:00,8.8144290000,8.8340166200,8.8046351900,8.8340166200,970000,8738176.0000
2025-01-02 14:05:00,8.8340166200,8.8340166200,8.8046351900,8.8340166200,1723500,15520512.0000
2025-01-02 14:10:00,8.8340166200,8.8340166200,8.7948413800,8.8046351900,1662700,14954752.0000
2025-01-02 14:15:00,8.8046351900,8.8144290000,8.7948413800,8.8046351900,1199300,10780096.0000
2025-01-02 14:20:00,8.8046351900,8.8046351900,8.7654599500,8.7850475700,2993100,26835520.0000
2025-01-02 14:25:00,8.7850475700,8.8144290000,8.7752537600,8.8144290000,1312400,11786944.0000
2025-01-02 14:30:00,8.8144290000,8.8536042400,8.8046351900,8.8242228100,1365900,12310464.0000
2025-01-02 14:35:00,8.8242228100,8.8340166200,8.7850475700,8.7948413800,1382900,12438400.0000
2025-01-02 14:40:00,8.7948413800,8.7948413800,8.7654599500,8.7752537600,1432100,12833536.0000
2025-01-02 14:45:00,8.7752537600,8.7850475700,8.7654599500,8.7654599500,1529600,13703552.0000
